dmda;4;960;64;1.058E+01
dmda;4;960;64;1.050E+01
dmda;4;960;64;1.061E+01
dmda;4;960;64;1.066E+01
dmda;4;960;64;1.057E+01
dmda;4;960;64;1.062E+01
dmda;4;960;64;1.069E+01
dmda;4;960;64;1.054E+01
dmda;4;960;64;1.050E+01
dmda;4;960;64;1.062E+01
dmda;4;960;64;1.054E+01
dmda;4;960;64;1.055E+01
dmda;4;960;64;1.060E+01
dmda;4;960;64;1.075E+01
dmda;4;960;64;1.052E+01
dmda;4;960;64;1.075E+01
dmda;4;960;64;1.054E+01
dmda;4;960;64;1.049E+01
dmda;4;960;64;1.054E+01
dmda;4;960;64;1.070E+01
dmda;4;960;64;1.070E+01
dmda;4;960;64;1.066E+01
dmda;4;960;64;1.054E+01
dmda;4;960;64;1.041E+01
dmda;4;960;64;1.059E+01
dmda;4;960;64;1.070E+01
dmda;4;960;64;1.076E+01
dmda;4;960;64;1.080E+01
dmda;4;960;64;1.070E+01
dmda;4;960;64;1.063E+01
dmda;1;960;32;1.563E+01
dmda;1;960;32;1.503E+01
dmda;1;960;32;1.533E+01
dmda;1;960;32;1.578E+01
dmda;1;960;32;1.523E+01
dmda;1;960;32;1.521E+01
dmda;1;960;32;1.549E+01
dmda;1;960;32;1.530E+01
dmda;1;960;32;1.536E+01
dmda;1;960;32;1.557E+01
dmda;1;960;32;1.525E+01
dmda;1;960;32;1.537E+01
dmda;1;960;32;1.576E+01
dmda;1;960;32;1.520E+01
dmda;1;960;32;1.581E+01
dmda;1;960;32;1.577E+01
dmda;1;960;32;1.511E+01
dmda;1;960;32;1.538E+01
dmda;1;960;32;1.576E+01
dmda;1;960;32;1.559E+01
dmda;1;960;32;1.536E+01
dmda;1;960;32;1.557E+01
dmda;1;960;32;1.569E+01
dmda;1;960;32;1.518E+01
dmda;1;960;32;1.519E+01
dmda;1;960;32;1.523E+01
dmda;1;960;32;1.546E+01
dmda;1;960;32;1.546E+01
dmda;1;960;32;1.545E+01
dmda;1;960;32;1.556E+01
dmda;4;1280;32;1.421E+01
dmda;4;1280;32;1.434E+01
dmda;4;1280;32;1.445E+01
dmda;4;1280;32;1.474E+01
dmda;4;1280;32;1.447E+01
dmda;4;1280;32;1.441E+01
dmda;4;1280;32;1.443E+01
dmda;4;1280;32;1.464E+01
dmda;4;1280;32;1.464E+01
dmda;4;1280;32;1.434E+01
dmda;4;1280;32;1.440E+01
dmda;4;1280;32;1.455E+01
dmda;4;1280;32;1.471E+01
dmda;4;1280;32;1.445E+01
dmda;4;1280;32;1.452E+01
dmda;4;1280;32;1.439E+01
dmda;4;1280;32;1.450E+01
dmda;4;1280;32;1.466E+01
dmda;4;1280;32;1.453E+01
dmda;4;1280;32;1.435E+01
dmda;4;1280;32;1.442E+01
dmda;4;1280;32;1.464E+01
dmda;4;1280;32;1.435E+01
dmda;4;1280;32;1.435E+01
dmda;4;1280;32;1.464E+01
dmda;4;1280;32;1.463E+01
dmda;4;1280;32;1.459E+01
dmda;4;1280;32;1.447E+01
dmda;4;1280;32;1.457E+01
dmda;4;1280;32;1.457E+01
dmda;4;960;32;1.196E+01
dmda;4;960;32;1.206E+01
dmda;4;960;32;1.221E+01
