lws;1;960;64;6.692E+01
lws;1;960;64;6.703E+01
lws;1;960;64;6.730E+01
lws;1;960;64;6.814E+01
lws;1;960;64;6.836E+01
lws;1;960;64;6.658E+01
lws;1;960;64;6.701E+01
lws;1;960;64;6.647E+01
lws;1;960;64;6.695E+01
lws;1;960;64;6.730E+01
dmda;4;960;64;6.059E+01
dmda;4;960;64;6.040E+01
dmda;4;960;64;6.028E+01
dmda;4;960;64;6.035E+01
dmda;4;960;64;6.028E+01
dmda;4;960;64;6.043E+01
dmda;4;960;64;6.025E+01
dmda;4;960;64;6.035E+01
dmda;4;960;64;6.051E+01
dmda;4;960;64;6.018E+01
dmdar;2;960;64;6.374E+01
dmdar;2;960;64;6.432E+01
dmdar;2;960;64;6.409E+01
dmdar;2;960;64;6.397E+01
dmdar;2;960;64;6.459E+01
dmdar;2;960;64;6.362E+01
dmdar;2;960;64;6.415E+01
dmdar;2;960;64;6.365E+01
dmdar;2;960;64;6.346E+01
dmdar;2;960;64;6.378E+01
dmda;1;960;32;7.917E+01
dmda;1;960;32;7.966E+01
dmda;1;960;32;7.873E+01
dmda;1;960;32;7.915E+01
dmda;1;960;32;7.931E+01
dmda;1;960;32;8.007E+01
dmda;1;960;32;7.959E+01
dmda;1;960;32;7.907E+01
dmda;1;960;32;7.921E+01
dmda;1;960;32;7.946E+01
dmdas;1;640;32;9.381E+01
dmdas;1;640;32;9.366E+01
dmdas;1;640;32;9.360E+01
dmdas;1;640;32;9.357E+01
dmdas;1;640;32;9.384E+01
dmdas;1;640;32;9.360E+01
dmdas;1;640;32;9.342E+01
dmdas;1;640;32;9.365E+01
dmdas;1;640;32;9.341E+01
dmdas;1;640;32;9.376E+01
dmdar;2;320;32;7.016E+01
dmdar;2;320;32;7.023E+01
dmdar;2;320;32;7.016E+01
dmdar;2;320;32;7.023E+01
dmdar;2;320;32;7.021E+01
dmdar;2;320;32;7.025E+01
dmdar;2;320;32;7.021E+01
dmdar;2;320;32;7.018E+01
dmdar;2;320;32;7.026E+01
dmdar;2;320;32;7.025E+01
dmdas;1;320;32;7.337E+01
dmdas;1;320;32;7.367E+01
dmdas;1;320;32;7.346E+01
dmdas;1;320;32;7.315E+01
dmdas;1;320;32;7.313E+01
dmdas;1;320;32;7.362E+01
dmdas;1;320;32;7.325E+01
dmdas;1;320;32;7.344E+01
dmdas;1;320;32;7.332E+01
dmdas;1;320;32;7.349E+01
dmda;4;960;32;7.043E+01
dmda;4;960;32;7.057E+01
dmda;4;960;32;7.043E+01
dmda;4;960;32;7.063E+01
dmda;4;960;32;7.060E+01
dmda;4;960;32;7.049E+01
dmda;4;960;32;7.058E+01
dmda;4;960;32;7.053E+01
dmda;4;960;32;7.079E+01
dmda;4;960;32;7.071E+01
lws;0;640;64;1.540E+02
lws;0;640;64;1.536E+02
lws;0;640;64;1.537E+02
lws;0;640;64;1.539E+02
lws;0;640;64;1.540E+02
lws;0;640;64;1.530E+02
lws;0;640;64;1.538E+02
lws;0;640;64;1.541E+02
lws;0;640;64;1.539E+02
lws;0;640;64;1.529E+02
lws;1;640;32;9.355E+01
lws;1;640;32;9.395E+01
lws;1;640;32;9.368E+01
lws;1;640;32;9.325E+01
lws;1;640;32;9.349E+01
lws;1;640;32;9.404E+01
lws;1;640;32;9.343E+01
lws;1;640;32;9.370E+01
lws;1;640;32;9.361E+01
lws;1;640;32;9.340E+01
dmdas;0;960;32;1.790E+02
dmdas;0;960;32;1.779E+02
dmdas;0;960;32;1.769E+02
dmdas;0;960;32;1.777E+02
dmdas;0;960;32;1.788E+02
dmdas;0;960;32;1.776E+02
dmdas;0;960;32;1.781E+02
dmdas;0;960;32;1.768E+02
dmdas;0;960;32;1.775E+02
dmdas;0;960;32;1.786E+02
lws;4;640;64;6.271E+01
lws;4;640;64;6.272E+01
lws;4;640;64;6.278E+01
lws;4;640;64;6.266E+01
lws;4;640;64;6.271E+01
lws;4;640;64;6.269E+01
lws;4;640;64;6.285E+01
lws;4;640;64;6.277E+01
lws;4;640;64;6.273E+01
lws;4;640;64;6.257E+01
dmdas;0;640;32;1.736E+02
dmdas;0;640;32;1.730E+02
dmdas;0;640;32;1.727E+02
dmdas;0;640;32;1.725E+02
dmdas;0;640;32;1.736E+02
dmdas;0;640;32;1.729E+02
dmdas;0;640;32;1.725E+02
dmdas;0;640;32;1.737E+02
dmdas;0;640;32;1.728E+02
dmdas;0;640;32;1.728E+02
dmdar;2;640;64;6.725E+01
dmdar;2;640;64;6.734E+01
dmdar;2;640;64;6.714E+01
dmdar;2;640;64;6.724E+01
dmdar;2;640;64;6.722E+01
dmdar;2;640;64;6.734E+01
dmdar;2;640;64;6.725E+01
dmdar;2;640;64;6.733E+01
dmdar;2;640;64;6.709E+01
dmdar;2;640;64;6.709E+01
lws;1;320;32;7.360E+01
lws;1;320;32;7.328E+01
lws;1;320;32;7.307E+01
lws;1;320;32;7.328E+01
lws;1;320;32;7.331E+01
lws;1;320;32;7.348E+01
lws;1;320;32;7.342E+01
lws;1;320;32;7.344E+01
lws;1;320;32;7.359E+01
lws;1;320;32;7.338E+01
dmda;1;640;32;9.355E+01
dmda;1;640;32;9.336E+01
dmda;1;640;32;9.336E+01
dmda;1;640;32;9.354E+01
dmda;1;640;32;9.352E+01
dmda;1;640;32;9.339E+01
dmda;1;640;32;9.354E+01
dmda;1;640;32;9.352E+01
dmda;1;640;32;9.379E+01
dmda;1;640;32;9.363E+01
dmda;0;320;32;1.790E+02
dmda;0;320;32;1.805E+02
dmda;0;320;32;1.792E+02
